provider_model,model_family,model_family_label,provider,current_model_size,current_size_class,current_parameter_b,current_size_evidence,artificial_analysis_lookup_url,artificial_analysis_evidence,review_model_size,review_parameter_b,review_notes
nvidia/nemotron-3-nano-30b-a3b,nvidia/nemotron-3-nano-30b-a3b,Nemotron 3 nano 30B A3B,nvidia,Small,small,30,30B parsed from model name,https://artificialanalysis.ai/models/open-source/small,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
openai/gpt-3.5-turbo,openai/gpt-3.5-turbo,GPT 3.5 Turbo,openai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
openai/gpt-3.5-turbo-0613,openai/gpt-3.5-turbo-0613,GPT 3.5 Turbo 0613,openai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
openai/gpt-3.5-turbo-16k,openai/gpt-3.5-turbo-16k,GPT 3.5 Turbo 16k,openai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
openai/gpt-3.5-turbo-instruct,openai/gpt-3.5-turbo-instruct,GPT 3.5 Turbo Instruct,openai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
openai/gpt-4,openai/gpt-4,GPT 4,openai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
openai/gpt-4-turbo,openai/gpt-4-turbo,GPT 4 Turbo,openai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
openai/gpt-4.1,openai/gpt-4.1,GPT 4.1,openai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
openai/gpt-4.1-mini,openai/gpt-4.1-mini,GPT 4.1 mini,openai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
openai/gpt-4.1-nano,openai/gpt-4.1-nano,GPT 4.1 nano,openai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
openai/gpt-4o,openai/gpt-4o,GPT 4o,openai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13,GPT 4o 2024 05 13,openai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
openai/gpt-4o-2024-08-06,openai/gpt-4o-2024-08-06,GPT 4o 2024 08 06,openai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
openai/gpt-4o-2024-11-20,openai/gpt-4o-2024-11-20,GPT 4o 2024 11 20,openai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
openai/gpt-4o-mini,openai/gpt-4o-mini,GPT 4o mini,openai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
openai/gpt-4o-mini-2024-07-18,openai/gpt-4o-mini-2024-07-18,GPT 4o mini 2024 07 18,openai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
openai/gpt-5,openai/gpt-5,GPT 5,openai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
openai/gpt-5-mini,openai/gpt-5-mini,GPT 5 mini,openai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
openai/gpt-5-nano,openai/gpt-5-nano,GPT 5 nano,openai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
openai/gpt-5.2,openai/gpt-5.2,GPT 5.2,openai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
openai/gpt-5.4,openai/gpt-5.4,GPT 5.4,openai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
openai/gpt-5.4-mini,openai/gpt-5.4-mini,GPT 5.4 mini,openai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
openai/gpt-5.4-nano,openai/gpt-5.4-nano,GPT 5.4 nano,openai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
openai/gpt-5.5,openai/gpt-5.5,GPT 5.5,openai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
openai/gpt-5.6-luna,openai/gpt-5.6-luna,GPT 5.6 Luna,openai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
openai/gpt-5.6-sol,openai/gpt-5.6-sol,GPT 5.6 Sol,openai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
openai/gpt-5.6-terra,openai/gpt-5.6-terra,GPT 5.6 Terra,openai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
openai/gpt-oss-120b,openai/gpt-oss-120b,GPT OSS 120B,openai,Medium,medium,117,OpenAI/HF model card: 117B total / 5.1B active,https://artificialanalysis.ai/models/open-source/medium,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
openai/gpt-oss-20b,openai/gpt-oss-20b,GPT OSS 20B,openai,Small,small,21,OpenAI/HF model card: 21B total / 3.6B active,https://artificialanalysis.ai/models/open-source/small,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
openai/o1,openai/o1,o1,openai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
openai/o3,openai/o3,o3,openai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
openai/o3-mini,openai/o3-mini,o3 mini,openai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
openai/o3-mini-high,openai/o3-mini-high,o3 mini High,openai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
openai/o4-mini,openai/o4-mini,o4 mini,openai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
openai/o4-mini-high,openai/o4-mini-high,o4 mini High,openai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
celeris-1,celeris-1,Celeris 1,other,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
claude-opus-5,claude-opus-5,Claude Opus 5,other,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
glm-5.2,glm-5.2,GLM 5.2,other,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
gemini-3.5-flash-lite,gemini-3.5-flash-lite,Gemini 3.5 Flash Lite,other,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
gemini-3.6-flash,gemini-3.6-flash,Gemini 3.6 Flash,other,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
LongCat-2.0,longcat-2.0,Longcat 2.0,other,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
sonar,sonar,Sonar,other,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
sonar-pro,sonar-pro,Sonar Pro,other,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
sonar-reasoning-pro,sonar-reasoning-pro,Sonar Reasoning Pro,other,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
us.amazon.nova-2-lite-v1:0,us.amazon.nova-2-lite-v1:0,us.amazon.nova 2 Lite v1:0,other,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
us.amazon.nova-lite-v1:0,us.amazon.nova-lite-v1:0,us.amazon.nova Lite v1:0,other,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
us.amazon.nova-micro-v1:0,us.amazon.nova-micro-v1:0,us.amazon.nova Micro v1:0,other,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
us.amazon.nova-pro-v1:0,us.amazon.nova-pro-v1:0,us.amazon.nova Pro v1:0,other,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
poolside/laguna-xs-2.1,poolside/laguna-xs-2.1,Laguna Xs 2.1,poolside,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
poolside/laguna-m.1,poolside/laguna-m.1,Laguna m.1,poolside,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,Qwen 2.5 72B Instruct,qwen,Medium,medium,72,72B parsed from model name,https://artificialanalysis.ai/models/open-source/medium,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
qwen/qwen-2.5-7b-instruct,qwen/qwen-2.5-7b-instruct,Qwen 2.5 7B Instruct,qwen,Small,small,7,7B parsed from model name,https://artificialanalysis.ai/models/open-source/small,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
qwen/qwen-plus,qwen/qwen-plus,Qwen Plus,qwen,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
qwen/qwen-plus-2025-07-28,qwen/qwen-plus-2025-07-28,Qwen Plus 2025 07 28,qwen,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
qwen/qwen2.5-vl-72b-instruct,qwen/qwen2.5-vl-72b-instruct,qwen2.5 VL 72B Instruct,qwen,Medium,medium,72,72B parsed from model name,https://artificialanalysis.ai/models/open-source/medium,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
qwen/qwen3-14b,qwen/qwen3-14b,qwen3 14B,qwen,Small,small,14,14B parsed from model name,https://artificialanalysis.ai/models/open-source/small,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
qwen/qwen3-235b-a22b,qwen/qwen3-235b-a22b,qwen3 235B A22B,qwen,Large,large,235,235B parsed from model name,https://artificialanalysis.ai/models/open-source,local audit uses Artificial Analysis open-source pages as a secondary size-band reference; verify per-model row if needed,,,
qwen/qwen3-235b-a22b-2507,qwen/qwen3-235b-a22b-2507,qwen3 235B A22B 2507,qwen,Large,large,235,235B parsed from model name,https://artificialanalysis.ai/models/open-source,local audit uses Artificial Analysis open-source pages as a secondary size-band reference; verify per-model row if needed,,,
qwen/qwen3-235b-a22b-thinking-2507,qwen/qwen3-235b-a22b-2507,qwen3 235B A22B 2507,qwen,Large,large,235,235B parsed from model name,https://artificialanalysis.ai/models/open-source,local audit uses Artificial Analysis open-source pages as a secondary size-band reference; verify per-model row if needed,,,
qwen/qwen3-30b-a3b,qwen/qwen3-30b-a3b,qwen3 30B A3B,qwen,Small,small,30,30B parsed from model name,https://artificialanalysis.ai/models/open-source/small,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507,qwen3 30B A3B Instruct 2507,qwen,Small,small,30,30B parsed from model name,https://artificialanalysis.ai/models/open-source/small,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
qwen/qwen3-30b-a3b-thinking-2507,qwen/qwen3-30b-a3b-instruct-2507,qwen3 30B A3B Instruct 2507,qwen,Small,small,30,30B parsed from model name,https://artificialanalysis.ai/models/open-source/small,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
qwen/qwen3-32b,qwen/qwen3-32b,qwen3 32B,qwen,Small,small,32,32B parsed from model name,https://artificialanalysis.ai/models/open-source/small,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
qwen/qwen3-8b,qwen/qwen3-8b,qwen3 8B,qwen,Small,small,8,8B parsed from model name,https://artificialanalysis.ai/models/open-source/small,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
qwen/qwen3-coder,qwen/qwen3-coder,qwen3 Coder,qwen,Large,large,480,Qwen3 Coder 480B A35B model card,https://artificialanalysis.ai/models/open-source,local audit uses Artificial Analysis open-source pages as a secondary size-band reference; verify per-model row if needed,,,
qwen/qwen3-coder-30b-a3b-instruct,qwen/qwen3-coder-30b-a3b-instruct,qwen3 Coder 30B A3B Instruct,qwen,Small,small,30,30B parsed from model name,https://artificialanalysis.ai/models/open-source/small,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
qwen/qwen3-coder-flash,qwen/qwen3-coder-flash,qwen3 Coder Flash,qwen,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
qwen/qwen3-coder-next,qwen/qwen3-coder-next,qwen3 Coder Next,qwen,Medium,medium,80,Qwen3 Coder Next 80B A3B model card,https://artificialanalysis.ai/models/open-source/medium,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
qwen/qwen3-coder-plus,qwen/qwen3-coder-plus,qwen3 Coder Plus,qwen,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
qwen/qwen3-max,qwen/qwen3-max,qwen3 Max,qwen,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models/qwen3-max,local audit records Artificial Analysis Qwen3 Max page as proprietary/closed weights; review page for current metadata,,,
qwen/qwen3-next-80b-a3b-instruct,qwen/qwen3-next-80b-a3b-instruct,qwen3 Next 80B A3B Instruct,qwen,Medium,medium,80,80B parsed from model name,https://artificialanalysis.ai/models/open-source/medium,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
qwen/qwen3-next-80b-a3b-thinking,qwen/qwen3-next-80b-a3b-instruct,qwen3 Next 80B A3B Instruct,qwen,Medium,medium,80,80B parsed from model name,https://artificialanalysis.ai/models/open-source/medium,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
qwen/qwen3-vl-235b-a22b-instruct,qwen/qwen3-vl-235b-a22b-instruct,qwen3 VL 235B A22B Instruct,qwen,Large,large,235,235B parsed from model name,https://artificialanalysis.ai/models/open-source,local audit uses Artificial Analysis open-source pages as a secondary size-band reference; verify per-model row if needed,,,
qwen/qwen3-vl-235b-a22b-thinking,qwen/qwen3-vl-235b-a22b-instruct,qwen3 VL 235B A22B Instruct,qwen,Large,large,235,235B parsed from model name,https://artificialanalysis.ai/models/open-source,local audit uses Artificial Analysis open-source pages as a secondary size-band reference; verify per-model row if needed,,,
qwen/qwen3-vl-30b-a3b-instruct,qwen/qwen3-vl-30b-a3b-instruct,qwen3 VL 30B A3B Instruct,qwen,Small,small,30,30B parsed from model name,https://artificialanalysis.ai/models/open-source/small,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
qwen/qwen3-vl-30b-a3b-thinking,qwen/qwen3-vl-30b-a3b-instruct,qwen3 VL 30B A3B Instruct,qwen,Small,small,30,30B parsed from model name,https://artificialanalysis.ai/models/open-source/small,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
qwen/qwen3-vl-8b-instruct,qwen/qwen3-vl-8b-instruct,qwen3 VL 8B Instruct,qwen,Small,small,8,8B parsed from model name,https://artificialanalysis.ai/models/open-source/small,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
qwen/qwen3-vl-8b-thinking,qwen/qwen3-vl-8b-instruct,qwen3 VL 8B Instruct,qwen,Small,small,8,8B parsed from model name,https://artificialanalysis.ai/models/open-source/small,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
qwen/qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,qwen3.5 122B A10B,qwen,Medium,medium,122,122B parsed from model name,https://artificialanalysis.ai/models/open-source/medium,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
qwen/qwen3.5-27b,qwen/qwen3.5-27b,qwen3.5 27B,qwen,Small,small,27,27B parsed from model name,https://artificialanalysis.ai/models/open-source/small,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
qwen/qwen3.5-35b-a3b,qwen/qwen3.5-35b-a3b,qwen3.5 35B A3B,qwen,Small,small,35,35B parsed from model name,https://artificialanalysis.ai/models/open-source/small,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
qwen/qwen3.5-397b-a17b,qwen/qwen3.5-397b-a17b,qwen3.5 397B A17B,qwen,Large,large,397,397B parsed from model name,https://artificialanalysis.ai/models/open-source,local audit uses Artificial Analysis open-source pages as a secondary size-band reference; verify per-model row if needed,,,
qwen/qwen3.5-9b,qwen/qwen3.5-9b,qwen3.5 9B,qwen,Small,small,9,9B parsed from model name,https://artificialanalysis.ai/models/open-source/small,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
qwen/qwen3.5-flash-02-23,qwen/qwen3.5-flash-02-23,qwen3.5 Flash 02 23,qwen,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
qwen/qwen3.5-plus-02-15,qwen/qwen3.5-plus-02-15,qwen3.5 Plus 02 15,qwen,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
qwen/qwen3.5-plus-20260420,qwen/qwen3.5-plus-20260420,qwen3.5 Plus 20260420,qwen,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
qwen/qwen3.6-27b,qwen/qwen3.6-27b,qwen3.6 27B,qwen,Small,small,27,27B parsed from model name,https://artificialanalysis.ai/models/open-source/small,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
qwen/qwen3.6-35b-a3b,qwen/qwen3.6-35b-a3b,qwen3.6 35B A3B,qwen,Small,small,35,35B parsed from model name,https://artificialanalysis.ai/models/open-source/small,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
qwen/qwen3.6-flash,qwen/qwen3.6-flash,qwen3.6 Flash,qwen,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
qwen/qwen3.6-max-preview,qwen/qwen3.6-max-preview,qwen3.6 Max Preview,qwen,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
qwen/qwen3.6-plus,qwen/qwen3.6-plus,qwen3.6 Plus,qwen,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
qwen/qwen3.7-flash,qwen/qwen3.7-flash,qwen3.7 Flash,qwen,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
qwen/qwen3.7-max,qwen/qwen3.7-max,qwen3.7 Max,qwen,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
qwen/qwen3.7-plus,qwen/qwen3.7-plus,qwen3.7 Plus,qwen,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
sakana/fugu-ultra,sakana/fugu-ultra,Fugu Ultra,sakana,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
stepfun/step-3.5-flash,stepfun/step-3.5-flash,Step 3.5 Flash,stepfun,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
stepfun/step-3.7-flash,stepfun/step-3.7-flash,Step 3.7 Flash,stepfun,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
tencent/hunyuan-a13b-instruct,tencent/hunyuan-a13b-instruct,Hunyuan A13B Instruct,tencent,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
tencent/hy3,tencent/hy3,hy3,tencent,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
thinkingmachines/Inkling,thinkingmachines/inkling,Inkling,thinkingmachines,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
upstage/solar-pro-3,upstage/solar-pro-3,Solar Pro 3,upstage,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
writer/palmyra-x5,writer/palmyra-x5,Palmyra x5,writer,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
x-ai/grok-4.20,x-ai/grok-4.20,Grok 4.20,x-ai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
x-ai/grok-4.3,x-ai/grok-4.3,Grok 4.3,x-ai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
x-ai/grok-4.5,x-ai/grok-4.5,Grok 4.5,x-ai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
x-ai/grok-build-0.1,x-ai/grok-build-0.1,Grok Build 0.1,x-ai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
xai/grok-4.1-fast-non-reasoning,xai/grok-4.1-fast-non-reasoning,Grok 4.1 Fast Non Reasoning,xai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
xai/grok-4.1-fast-reasoning,xai/grok-4.1-fast-reasoning,Grok 4.1 Fast Reasoning,xai,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
xiaomi/mimo-v2.5,xiaomi/mimo-v2.5,Mimo v2.5,xiaomi,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
xiaomi/mimo-v2.5-pro,xiaomi/mimo-v2.5-pro,Mimo v2.5 Pro,xiaomi,Undisclosed,undisclosed,,No stable public parameter count disclosed,https://artificialanalysis.ai/models,not captured in repo; review against Artificial Analysis model page before changing size class,,,
z-ai/glm-4.5,z-ai/glm-4.5,GLM 4.5,z-ai,Large,large,355,Z.ai GLM-4.5 model card: 355B total / 32B active,https://artificialanalysis.ai/models/open-source,local audit uses Artificial Analysis open-source pages as a secondary size-band reference; verify per-model row if needed,,,
z-ai/glm-4.5-air,z-ai/glm-4.5-air,GLM 4.5 Air,z-ai,Medium,medium,106,Z.ai GLM Air/V model card: 106B total / 12B active,https://artificialanalysis.ai/models/open-source/medium,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
z-ai/glm-4.5v,z-ai/glm-4.5v,GLM 4.5v,z-ai,Medium,medium,106,Z.ai GLM Air/V model card: 106B total / 12B active,https://artificialanalysis.ai/models/open-source/medium,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
z-ai/glm-4.6,z-ai/glm-4.6,GLM 4.6,z-ai,Large,large,355,Z.ai GLM-4.x model family: 355B total / 32B active,https://artificialanalysis.ai/models/open-source,local audit uses Artificial Analysis open-source pages as a secondary size-band reference; verify per-model row if needed,,,
z-ai/glm-4.6v,z-ai/glm-4.6v,GLM 4.6v,z-ai,Medium,medium,106,Z.ai GLM Air/V model card: 106B total / 12B active,https://artificialanalysis.ai/models/open-source/medium,local audit uses Artificial Analysis open-source size-band pages for public point-size convention; verify per-model row if needed,,,
z-ai/glm-4.7,z-ai/glm-4.7,GLM 4.7,z-ai,Large,large,355,Z.ai GLM-4.x model family: 355B total / 32B active,https://artificialanalysis.ai/models/open-source,local audit uses Artificial Analysis open-source pages as a secondary size-band reference; verify per-model row if needed,,,
