id,label,provider_route,inspect_model,total_samples,billable_samples,cache_hits,estimated_billable_cost_usd,pricing_source,warnings
expand222-next-093-thinking-gemini-gemini-3-1-flash-lite-minimal,Gemini 3.1 Flash-Lite minimal_budget_1024,gemini,google/gemini-3.1-flash-lite,224,98,126,0.000654,runcost,No price found for output_reasoning_tokens (token).
expand222-next-002-registry-openrouter-110-google-gemma-3-12b-it,Google: Gemma 3 12B,openrouter,openrouter/google/gemma-3-12b-it,224,98,126,0.000102,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-046-openrouter-154-meta-llama-llama-3-3-70b-instruct,Meta: Llama 3.3 70B Instruct,openrouter,openrouter/meta-llama/llama-3.3-70b-instruct,224,224,0,0.000582,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-paper-openai-gpt-5-nano-minimal,OpenAI GPT-5 nano minimal,openai,openai/gpt-5-nano,224,224,0,0.002168,runcost,
expand222-next-030-registry-openrouter-100-qwen-qwen3-vl-235b-a22b-instruct,Qwen: Qwen3 VL 235B A22B Instruct,openrouter,openrouter/qwen/qwen3-vl-235b-a22b-instruct,224,98,126,0.000585,runcost,No price found for output_reasoning_tokens (token).
expand222-top-thinking-034-openrouter-google-gemini-3-1-flash-lite-minimal,Google: Gemini 3.1 Flash Lite minimal,openrouter,openrouter/google/gemini-3.1-flash-lite,224,98,126,0.006828,runcost,
expand222-next-094-thinking-openrouter-google-gemini-3-1-flash-lite-minimal,Google: Gemini 3.1 Flash Lite minimal,openrouter,openrouter/google/gemini-3.1-flash-lite,224,98,126,0.006828,runcost,
expand222-next-095-thinking-openrouter-google-gemini-3-1-flash-lite-preview-minimal,Google: Gemini 3.1 Flash Lite Preview minimal,openrouter,openrouter/google/gemini-3.1-flash-lite-preview,224,98,126,0.006828,runcost,
expand222-next-042-registry-gemini-3-1-flash-lite,Gemini 3.1 Flash-Lite,gemini,google/gemini-3.1-flash-lite,224,98,126,0.000654,runcost,No price found for output_reasoning_tokens (token).
expand222-scaled-073-openrouter-141-qwen-qwen-plus-2025-07-28,Qwen: Qwen Plus 0728,openrouter,openrouter/qwen/qwen-plus-2025-07-28,224,224,0,0.001514,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-095-openrouter-148-qwen-qwen3-coder,Qwen: Qwen3 Coder 480B A35B,openrouter,openrouter/qwen/qwen3-coder,224,224,0,0.001281,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-next-029-registry-openrouter-112-qwen-qwen2-5-vl-72b-instruct,Qwen: Qwen2.5 VL 72B Instruct,openrouter,openrouter/qwen/qwen2.5-vl-72b-instruct,224,98,126,0.000637,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-057-openrouter-158-meta-llama-llama-3-1-70b-instruct,Meta: Llama 3.1 70B Instruct,openrouter,openrouter/meta-llama/llama-3.1-70b-instruct,224,224,0,0.002330,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-next-061-registry-openrouter-139-qwen-qwen3-coder-plus,Qwen: Qwen3 Coder Plus,openrouter,openrouter/qwen/qwen3-coder-plus,224,98,126,0.001745,runcost,No price found for output_reasoning_tokens (token).
expand222-next-047-registry-openai-gpt-5-mini-minimal,OpenAI GPT-5 mini minimal,openai,openai/gpt-5-mini,224,98,126,0.008886,runcost,
expand222-next-073-registry-openrouter-115-mistralai-mixtral-8x22b-instruct,Mistral: Mixtral 8x22B Instruct,openrouter,openrouter/mistralai/mixtral-8x22b-instruct,224,98,126,0.005233,runcost,No price found for output_reasoning_tokens (token).
expand222-next-072-registry-openrouter-114-anthracite-org-magnum-v4-72b,Magnum v4 72B,openrouter,openrouter/anthracite-org/magnum-v4-72b,224,98,126,0.007644,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-030-openrouter-037-arcee-ai-trinity-mini,Arcee AI: Trinity Mini,openrouter,openrouter/arcee-ai/trinity-mini,224,224,0,0.000262,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-next-074-registry-openrouter-185-mistralai-mistral-large-2407,Mistral Large 2407,openrouter,openrouter/mistralai/mistral-large-2407,224,98,126,0.005233,runcost,No price found for output_reasoning_tokens (token).
expand222-scaled-024-openrouter-052-z-ai-glm-4-32b,Z.ai: GLM 4 32B ,openrouter,openrouter/z-ai/glm-4-32b,224,224,0,0.000582,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-054-openrouter-143-nousresearch-hermes-4-70b,Nous: Hermes 4 70B,openrouter,openrouter/nousresearch/hermes-4-70b,224,224,0,0.000757,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-next-027-registry-openrouter-176-mistralai-mistral-saba,Mistral: Saba,openrouter,openrouter/mistralai/mistral-saba,224,98,126,0.000523,runcost,No price found for output_reasoning_tokens (token).
expand222-next-052-registry-openrouter-172-mistralai-mistral-medium-3-1,Mistral: Mistral Medium 3.1,openrouter,openrouter/mistralai/mistral-medium-3.1,224,98,126,0.001047,runcost,No price found for output_reasoning_tokens (token).
expand222-next-054-registry-openrouter-175-mistralai-mistral-medium-3,Mistral: Mistral Medium 3,openrouter,openrouter/mistralai/mistral-medium-3,224,98,126,0.001047,runcost,No price found for output_reasoning_tokens (token).
expand222-next-079-registry-openrouter-182-cohere-command-a,Cohere: Command A,openrouter,openrouter/cohere/command-a,224,98,126,0.006370,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-021-openrouter-026-ibm-granite-granite-4-1-8b,IBM: Granite 4.1 8B,openrouter,openrouter/ibm-granite/granite-4.1-8b,224,224,0,0.000370,runcost,No price found for output_reasoning_tokens (token).
expand222-scaled-027-openrouter-056-google-gemma-3n-e4b-it,Google: Gemma 3n 4B,openrouter,openrouter/google/gemma-3n-e4b-it,224,224,0,0.000349,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-next-019-registry-openai-gpt-4-1-nano,OpenAI GPT-4.1 nano,openai,openai/gpt-4.1-nano,224,98,126,0.001918,runcost,
expand222-next-026-registry-openrouter-106-meta-llama-llama-4-maverick,Meta: Llama 4 Maverick,openrouter,openrouter/meta-llama/llama-4-maverick,224,98,126,0.000382,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-074-openrouter-145-deepseek-deepseek-chat-v3-1,DeepSeek: DeepSeek V3.1,openrouter,openrouter/deepseek/deepseek-chat-v3.1,224,224,0,0.001427,runcost,No price found for output_reasoning_tokens (token).
expand222-scaled-081-openrouter-140-deepseek-deepseek-v3-1-terminus,DeepSeek: DeepSeek V3.1 Terminus,openrouter,openrouter/deepseek/deepseek-v3.1-terminus,224,224,0,0.001776,runcost,No price found for output_reasoning_tokens (token).
expand222-next-034-registry-openrouter-174-mistralai-codestral-2508,Mistral: Codestral 2508,openrouter,openrouter/mistralai/codestral-2508,224,98,126,0.000785,runcost,No price found for output_reasoning_tokens (token).
expand222-scaled-055-openrouter-072-qwen-qwen-2-5-72b-instruct,Qwen2.5 72B Instruct,openrouter,openrouter/qwen/qwen-2.5-72b-instruct,224,224,0,0.002097,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-088-openrouter-055-baidu-ernie-4-5-300b-a47b,Baidu: ERNIE 4.5 300B A47B ,openrouter,openrouter/baidu/ernie-4.5-300b-a47b,224,224,0,0.001631,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-069-openrouter-160-meta-llama-llama-3-70b-instruct,Meta: Llama 3 70B Instruct,openrouter,openrouter/meta-llama/llama-3-70b-instruct,224,224,0,0.002970,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-064-openrouter-044-thedrummer-cydonia-24b-v4-1,TheDrummer: Cydonia 24B V4.1,openrouter,openrouter/thedrummer/cydonia-24b-v4.1,224,224,0,0.001982,runcost,No price found for output_reasoning_tokens (token).
expand222-scaled-076-openrouter-151-thedrummer-skyfall-36b-v2,TheDrummer: Skyfall 36B V2,openrouter,openrouter/thedrummer/skyfall-36b-v2,224,224,0,0.003595,runcost,No price found for output_reasoning_tokens (token).
expand222-next-070-registry-openai-gpt-5-4-mini-none,OpenAI GPT-5.4 mini no thinking,openai,openai/gpt-5.4-mini,224,98,126,0.020484,runcost,
expand222-scaled-032-openrouter-047-nvidia-nemotron-nano-9b-v2,NVIDIA: Nemotron Nano 9B V2,openrouter,openrouter/nvidia/nemotron-nano-9b-v2,224,224,0,0.000233,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-025-openrouter-041-ibm-granite-granite-4-0-h-micro,IBM: Granite 4.0 Micro,openrouter,openrouter/ibm-granite/granite-4.0-h-micro,224,224,0,0.000099,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-next-006-registry-openrouter-111-google-gemma-3-27b-it,Google: Gemma 3 27B,openrouter,openrouter/google/gemma-3-27b-it,224,0,224,0.000000,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-next-024-registry-openai-gpt-4o-mini,OpenAI GPT-4o mini,openai,openai/gpt-4o-mini,224,98,126,0.002903,runcost,
expand222-next-014-registry-openrouter-093-mistralai-ministral-14b-2512,Mistral: Ministral 3 14B 2512,openrouter,openrouter/mistralai/ministral-14b-2512,224,98,126,0.000523,runcost,No price found for output_reasoning_tokens (token).
expand222-scaled-048-openrouter-134-deepseek-deepseek-v3-2,DeepSeek: DeepSeek V3.2,openrouter,openrouter/deepseek/deepseek-v3.2,224,224,0,0.001507,runcost,No price found for output_reasoning_tokens (token).
expand222-scaled-019-openrouter-065-mistralai-mistral-small-24b-instruct-2501,Mistral: Mistral Small 3,openrouter,openrouter/mistralai/mistral-small-24b-instruct-2501,224,224,0,0.000291,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-next-087-thinking-openai-gpt-5-nano-minimal,OpenAI GPT-5 nano minimal,openai,openai/gpt-5-nano,224,98,126,0.000939,runcost,
expand222-scaled-058-openrouter-137-deepseek-deepseek-v3-2-exp,DeepSeek: DeepSeek V3.2 Exp,openrouter,openrouter/deepseek/deepseek-v3.2-exp,224,224,0,0.001572,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-066-openrouter-077-microsoft-wizardlm-2-8x22b,WizardLM-2 8x22B,openrouter,openrouter/microsoft/wizardlm-2-8x22b,224,224,0,0.003611,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-next-008-registry-openrouter-094-mistralai-ministral-8b-2512,Mistral: Ministral 3 8B 2512,openrouter,openrouter/mistralai/ministral-8b-2512,224,98,126,0.000392,runcost,No price found for output_reasoning_tokens (token).
expand222-next-022-registry-openrouter-099-qwen-qwen3-vl-30b-a3b-instruct,Qwen: Qwen3 VL 30B A3B Instruct,openrouter,openrouter/qwen/qwen3-vl-30b-a3b-instruct,224,98,126,0.000331,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-next-037-registry-openai-gpt-5-4-nano-none,OpenAI GPT-5.4 nano no thinking,openai,openai/gpt-5.4-nano,224,98,126,0.005668,runcost,
expand222-next-075-registry-openrouter-183-mistralai-mistral-medium-3-5,Mistral: Mistral Medium 3.5,openrouter,openrouter/mistralai/mistral-medium-3-5,224,98,126,0.003822,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-033-openrouter-051-qwen-qwen3-30b-a3b-instruct-2507,Qwen: Qwen3 30B A3B Instruct 2507,openrouter,openrouter/qwen/qwen3-30b-a3b-instruct-2507,224,224,0,0.000524,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-026-openrouter-030-liquid-lfm-2-24b-a2b,LiquidAI: LFM2-24B-A2B,openrouter,openrouter/liquid/lfm-2-24b-a2b,224,224,0,0.000175,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-017-openrouter-121-sao10k-l3-lunaris-8b,Sao10K: Llama 3 8B Lunaris,openrouter,openrouter/sao10k/l3-lunaris-8b,224,224,0,0.000233,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-next-007-registry-openrouter-104-mistralai-mistral-small-3-2-24b-instruct,Mistral: Mistral Small 3.2 24B,openrouter,openrouter/mistralai/mistral-small-3.2-24b-instruct,224,98,126,0.000191,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-next-018-registry-openrouter-177-meta-llama-llama-3-2-11b-vision-instruct,Meta: Llama 3.2 11B Vision Instruct,openrouter,openrouter/meta-llama/llama-3.2-11b-vision-instruct,224,98,126,0.000624,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-068-openrouter-074-google-gemma-2-27b-it,Google: Gemma 2 27B,openrouter,openrouter/google/gemma-2-27b-it,224,224,0,0.003786,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-next-015-registry-openrouter-096-mistralai-voxtral-small-24b-2507,Mistral: Voxtral Small 24B 2507,openrouter,openrouter/mistralai/voxtral-small-24b-2507,224,98,126,0.000262,runcost,No price found for output_reasoning_tokens (token).
expand222-next-012-registry-openrouter-107-meta-llama-llama-4-scout,Meta: Llama 4 Scout,openrouter,openrouter/meta-llama/llama-4-scout,224,98,126,0.000204,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-next-021-registry-openrouter-098-qwen-qwen3-vl-8b-instruct,Qwen: Qwen3 VL 8B Instruct,openrouter,openrouter/qwen/qwen3-vl-8b-instruct,224,98,126,0.000204,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-020-openrouter-069-qwen-qwen-2-5-7b-instruct,Qwen: Qwen2.5 7B Instruct,openrouter,openrouter/qwen/qwen-2.5-7b-instruct,224,224,0,0.000233,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-065-openrouter-054-tencent-hunyuan-a13b-instruct,Tencent: Hunyuan A13B Instruct,openrouter,openrouter/tencent/hunyuan-a13b-instruct,224,224,0,0.000815,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-031-openrouter-133-essentialai-rnj-1-instruct,EssentialAI: Rnj 1 Instruct,openrouter,openrouter/essentialai/rnj-1-instruct,224,224,0,0.000874,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-070-openrouter-150-deepseek-deepseek-chat-v3-0324,DeepSeek: DeepSeek V3 0324,openrouter,openrouter/deepseek/deepseek-chat-v3-0324,224,224,0,0.001376,runcost,No price found for output_reasoning_tokens (token).
expand222-scaled-077-openrouter-153-deepseek-deepseek-chat,DeepSeek: DeepSeek V3,openrouter,openrouter/deepseek/deepseek-chat,224,224,0,0.001333,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-056-openrouter-068-thedrummer-unslopnemo-12b,TheDrummer: UnslopNemo 12B,openrouter,openrouter/thedrummer/unslopnemo-12b,224,224,0,0.002330,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-016-openrouter-073-meta-llama-llama-3-1-8b-instruct,Meta: Llama 3.1 8B Instruct,openrouter,openrouter/meta-llama/llama-3.1-8b-instruct,224,224,0,0.000116,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-next-001-registry-openrouter-109-google-gemma-3-4b-it,Google: Gemma 3 4B,openrouter,openrouter/google/gemma-3-4b-it,224,98,126,0.000102,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-next-004-registry-openrouter-095-mistralai-ministral-3b-2512,Mistral: Ministral 3 3B 2512,openrouter,openrouter/mistralai/ministral-3b-2512,224,98,126,0.000262,runcost,No price found for output_reasoning_tokens (token).
expand222-scaled-059-openrouter-070-thedrummer-rocinante-12b,TheDrummer: Rocinante 12B,openrouter,openrouter/thedrummer/rocinante-12b,224,224,0,0.000990,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-049-openrouter-042-microsoft-phi-4-mini-instruct,Microsoft: Phi 4 Mini Instruct,openrouter,openrouter/microsoft/phi-4-mini-instruct,224,224,0,0.000591,runcost,No price found for output_reasoning_tokens (token).
expand222-next-009-registry-openrouter-102-bytedance-ui-tars-1-5-7b,ByteDance: UI-TARS 7B ,openrouter,openrouter/bytedance/ui-tars-1.5-7b,224,98,126,0.000323,runcost,No price found for output_reasoning_tokens (token).
expand222-scaled-018-openrouter-079-gryphe-mythomax-l2-13b,MythoMax 13B,openrouter,openrouter/gryphe/mythomax-l2-13b,224,224,0,0.000349,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-029-openrouter-075-nousresearch-hermes-2-pro-llama-3-8b,NousResearch: Hermes 2 Pro - Llama-3 8B,openrouter,openrouter/nousresearch/hermes-2-pro-llama-3-8b,224,224,0,0.000815,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-013-openrouter-159-mistralai-mistral-nemo,Mistral: Mistral Nemo,openrouter,openrouter/mistralai/mistral-nemo,224,224,0,0.000116,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-015-openrouter-076-meta-llama-llama-3-8b-instruct,Meta: Llama 3 8B Instruct,openrouter,openrouter/meta-llama/llama-3-8b-instruct,224,224,0,0.000233,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-028-openrouter-066-microsoft-phi-4,Microsoft: Phi 4,openrouter,openrouter/microsoft/phi-4,224,224,0,0.000379,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-067-openrouter-078-undi95-remm-slerp-l2-13b,ReMM SLERP 13B,openrouter,openrouter/undi95/remm-slerp-l2-13b,224,224,0,0.002621,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-083-openrouter-045-qwen-qwen3-coder-flash,Qwen: Qwen3 Coder Flash,openrouter,openrouter/qwen/qwen3-coder-flash,224,0,224,0.000000,runcost,No price found for output_reasoning_tokens (token).
expand222-scaled-040-openrouter-050-qwen-qwen3-coder-30b-a3b-instruct,Qwen: Qwen3 Coder 30B A3B Instruct,openrouter,openrouter/qwen/qwen3-coder-30b-a3b-instruct,224,98,126,0.000178,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-next-005-registry-openrouter-167-rekaai-reka-edge,Reka Edge,openrouter,openrouter/rekaai/reka-edge,224,98,126,0.000255,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-092-openrouter-064-aion-labs-aion-rp-llama-3-1-8b,AionLabs: Aion-RP 1.0 (8B),openrouter,openrouter/aion-labs/aion-rp-llama-3.1-8b,224,224,0,0.004659,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-next-066-registry-openrouter-138-qwen-qwen3-max,Qwen: Qwen3 Max,openrouter,openrouter/qwen/qwen3-max,224,173,51,0.003697,runcost,No price found for output_reasoning_tokens (token).
expand222-scaled-042-openrouter-120-deepseek-deepseek-r1-distill-qwen-32b,DeepSeek: R1 Distill Qwen 32B,openrouter,openrouter/deepseek/deepseek-r1-distill-qwen-32b,224,224,0,0.001689,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-scaled-037-openrouter-155-meta-llama-llama-3-2-1b-instruct,Meta: Llama 3.2 1B Instruct,openrouter,openrouter/meta-llama/llama-3.2-1b-instruct,224,224,0,0.000157,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
expand222-next-011-registry-openrouter-105-meta-llama-llama-guard-4-12b,Meta: Llama Guard 4 12B,openrouter,openrouter/meta-llama/llama-guard-4-12b,224,98,126,0.000459,runcost,No price found for input_cache_read_tokens (token).; No price found for output_reasoning_tokens (token).
