label,model,barrage_profile,reasoning_effort,reasoning_summary,family,samples,correct,failures,answer_correct,format_correct,strict_correct,input_tokens,output_tokens,reasoning_tokens,cache_read_tokens,cache_write_tokens,total_tokens,estimated_cost_usd,cost_source,cost_warnings,summary_dir
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,balanced_8x10,,,constraint_awareness,10,4,6,4,4,4,660,66,0,0,0,726,0.00297,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/claude-sonnet-4-6-balanced_8x10-20260531-001905
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,balanced_8x10,,,format_compliance,10,10,0,10,10,10,456,66,0,0,0,522,0.002358,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/claude-sonnet-4-6-balanced_8x10-20260531-001905
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,balanced_8x10,,,negation,10,9,1,9,10,9,481,42,0,0,0,523,0.002073,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/claude-sonnet-4-6-balanced_8x10-20260531-001905
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,balanced_8x10,,,ordering,10,10,0,10,10,10,440,120,0,0,0,560,0.00312,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/claude-sonnet-4-6-balanced_8x10-20260531-001905
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,balanced_8x10,,,spelling_transform,10,6,4,6,10,6,338,188,0,0,0,526,0.003834,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/claude-sonnet-4-6-balanced_8x10-20260531-001905
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6,balanced_8x10,,,word_count,10,10,0,10,10,10,432,50,0,0,0,482,0.002046,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/claude-sonnet-4-6-balanced_8x10-20260531-001905
Claude Opus 4.6 low,anthropic/claude-opus-4-6,balanced_8x10,,none,arithmetic,10,10,0,10,10,10,412,60,0,0,0,472,0.00356,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-6-low-seq-balanced_8x10-20260531-075610
Claude Opus 4.6 low,anthropic/claude-opus-4-6,balanced_8x10,,none,character_count,10,7,3,7,10,7,362,50,0,0,0,412,0.00306,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-6-low-seq-balanced_8x10-20260531-075610
Claude Opus 4.6 low,anthropic/claude-opus-4-6,balanced_8x10,,none,constraint_awareness,10,10,0,10,10,10,660,40,0,0,0,700,0.0043,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-6-low-seq-balanced_8x10-20260531-075610
Claude Opus 4.6 low,anthropic/claude-opus-4-6,balanced_8x10,,none,format_compliance,10,10,0,10,10,10,456,66,0,0,0,522,0.00393,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-6-low-seq-balanced_8x10-20260531-075610
Claude Opus 4.6 low,anthropic/claude-opus-4-6,balanced_8x10,,none,negation,10,8,2,8,10,8,481,42,0,0,0,523,0.003455,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-6-low-seq-balanced_8x10-20260531-075610
Claude Opus 4.6 low,anthropic/claude-opus-4-6,balanced_8x10,,none,ordering,10,10,0,10,10,10,440,120,0,0,0,560,0.0052,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-6-low-seq-balanced_8x10-20260531-075610
Claude Opus 4.6 low,anthropic/claude-opus-4-6,balanced_8x10,,none,spelling_transform,10,8,2,8,10,8,338,196,0,0,0,534,0.00659,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-6-low-seq-balanced_8x10-20260531-075610
Claude Opus 4.6 low,anthropic/claude-opus-4-6,balanced_8x10,,none,word_count,10,10,0,10,10,10,432,50,0,0,0,482,0.00341,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-6-low-seq-balanced_8x10-20260531-075610
Claude Opus 4.6 medium,anthropic/claude-opus-4-6,balanced_8x10,,none,arithmetic,10,10,0,10,10,10,412,60,0,0,0,472,0.00356,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-6-medium-seq-balanced_8x10-20260531-080213
Claude Opus 4.6 medium,anthropic/claude-opus-4-6,balanced_8x10,,none,character_count,10,8,2,8,10,8,362,144,0,0,0,506,0.00541,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-6-medium-seq-balanced_8x10-20260531-080213
Claude Opus 4.6 medium,anthropic/claude-opus-4-6,balanced_8x10,,none,constraint_awareness,10,10,0,10,10,10,660,40,0,0,0,700,0.0043,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-6-medium-seq-balanced_8x10-20260531-080213
Claude Opus 4.6 medium,anthropic/claude-opus-4-6,balanced_8x10,,none,format_compliance,10,10,0,10,10,10,456,66,0,0,0,522,0.00393,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-6-medium-seq-balanced_8x10-20260531-080213
Claude Opus 4.6 medium,anthropic/claude-opus-4-6,balanced_8x10,,none,negation,10,10,0,10,10,10,481,42,0,0,0,523,0.003455,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-6-medium-seq-balanced_8x10-20260531-080213
Claude Opus 4.6 medium,anthropic/claude-opus-4-6,balanced_8x10,,none,ordering,10,10,0,10,10,10,440,120,0,0,0,560,0.0052,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-6-medium-seq-balanced_8x10-20260531-080213
Claude Opus 4.6 medium,anthropic/claude-opus-4-6,balanced_8x10,,none,spelling_transform,10,9,1,9,10,9,338,117,0,0,0,455,0.004615,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-6-medium-seq-balanced_8x10-20260531-080213
Claude Opus 4.6 medium,anthropic/claude-opus-4-6,balanced_8x10,,none,word_count,10,10,0,10,10,10,432,50,0,0,0,482,0.00341,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-6-medium-seq-balanced_8x10-20260531-080213
Claude Opus 4.6 high,anthropic/claude-opus-4-6,balanced_8x10,,none,arithmetic,10,10,0,10,10,10,412,60,0,0,0,472,0.00356,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-6-high-seq-balanced_8x10-20260531-080353
Claude Opus 4.6 high,anthropic/claude-opus-4-6,balanced_8x10,,none,character_count,10,8,2,8,10,8,362,513,0,0,0,875,0.014635,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-6-high-seq-balanced_8x10-20260531-080353
Claude Opus 4.6 high,anthropic/claude-opus-4-6,balanced_8x10,,none,constraint_awareness,10,10,0,10,10,10,660,40,0,0,0,700,0.0043,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-6-high-seq-balanced_8x10-20260531-080353
Claude Opus 4.6 high,anthropic/claude-opus-4-6,balanced_8x10,,none,format_compliance,10,10,0,10,10,10,456,66,0,0,0,522,0.00393,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-6-high-seq-balanced_8x10-20260531-080353
Claude Opus 4.6 high,anthropic/claude-opus-4-6,balanced_8x10,,none,negation,10,10,0,10,10,10,481,42,0,0,0,523,0.003455,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-6-high-seq-balanced_8x10-20260531-080353
Claude Opus 4.6 high,anthropic/claude-opus-4-6,balanced_8x10,,none,ordering,10,10,0,10,10,10,440,120,0,0,0,560,0.0052,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-6-high-seq-balanced_8x10-20260531-080353
Claude Opus 4.6 high,anthropic/claude-opus-4-6,balanced_8x10,,none,spelling_transform,10,9,1,9,10,9,338,118,0,0,0,456,0.00464,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-6-high-seq-balanced_8x10-20260531-080353
Claude Opus 4.6 high,anthropic/claude-opus-4-6,balanced_8x10,,none,word_count,10,9,1,9,10,9,432,91,0,0,0,523,0.004435,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-6-high-seq-balanced_8x10-20260531-080353
Claude Opus 4.7 low,anthropic/claude-opus-4-7,balanced_8x10,,none,arithmetic,10,10,0,10,10,10,558,70,0,0,0,628,0.00454,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-7-low-seq-balanced_8x10-20260531-080550
Claude Opus 4.7 low,anthropic/claude-opus-4-7,balanced_8x10,,none,character_count,10,4,6,4,10,4,516,60,0,0,0,576,0.00408,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-7-low-seq-balanced_8x10-20260531-080550
Claude Opus 4.7 low,anthropic/claude-opus-4-7,balanced_8x10,,none,constraint_awareness,10,10,0,10,10,10,902,50,0,0,0,952,0.00576,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-7-low-seq-balanced_8x10-20260531-080550
Claude Opus 4.7 low,anthropic/claude-opus-4-7,balanced_8x10,,none,format_compliance,10,10,0,10,10,10,659,98,0,0,0,757,0.005745,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-7-low-seq-balanced_8x10-20260531-080550
Claude Opus 4.7 low,anthropic/claude-opus-4-7,balanced_8x10,,none,negation,10,10,0,10,10,10,670,54,0,0,0,724,0.0047,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-7-low-seq-balanced_8x10-20260531-080550
Claude Opus 4.7 low,anthropic/claude-opus-4-7,balanced_8x10,,none,ordering,10,10,0,10,10,10,638,138,0,0,0,776,0.00664,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-7-low-seq-balanced_8x10-20260531-080550
Claude Opus 4.7 low,anthropic/claude-opus-4-7,balanced_8x10,,none,spelling_transform,10,9,1,9,10,9,506,82,0,0,0,588,0.00458,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-7-low-seq-balanced_8x10-20260531-080550
Claude Opus 4.7 low,anthropic/claude-opus-4-7,balanced_8x10,,none,word_count,10,10,0,10,10,10,612,60,0,0,0,672,0.00456,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-7-low-seq-balanced_8x10-20260531-080550
Claude Opus 4.7 medium,anthropic/claude-opus-4-7,balanced_8x10,,none,arithmetic,10,10,0,10,10,10,558,70,0,0,0,628,0.00454,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-7-medium-seq-balanced_8x10-20260531-080751
Claude Opus 4.7 medium,anthropic/claude-opus-4-7,balanced_8x10,,none,character_count,10,5,5,5,10,5,516,60,0,0,0,576,0.00408,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-7-medium-seq-balanced_8x10-20260531-080751
Claude Opus 4.7 medium,anthropic/claude-opus-4-7,balanced_8x10,,none,constraint_awareness,10,10,0,10,10,10,902,50,0,0,0,952,0.00576,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-7-medium-seq-balanced_8x10-20260531-080751
Claude Opus 4.7 medium,anthropic/claude-opus-4-7,balanced_8x10,,none,format_compliance,10,10,0,10,10,10,659,98,0,0,0,757,0.005745,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-7-medium-seq-balanced_8x10-20260531-080751
Claude Opus 4.7 medium,anthropic/claude-opus-4-7,balanced_8x10,,none,negation,10,10,0,10,10,10,670,54,0,0,0,724,0.0047,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-7-medium-seq-balanced_8x10-20260531-080751
Claude Opus 4.7 medium,anthropic/claude-opus-4-7,balanced_8x10,,none,ordering,10,10,0,10,10,10,638,138,0,0,0,776,0.00664,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-7-medium-seq-balanced_8x10-20260531-080751
Claude Opus 4.7 medium,anthropic/claude-opus-4-7,balanced_8x10,,none,spelling_transform,10,10,0,10,10,10,506,82,0,0,0,588,0.00458,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-7-medium-seq-balanced_8x10-20260531-080751
Claude Opus 4.7 medium,anthropic/claude-opus-4-7,balanced_8x10,,none,word_count,10,10,0,10,10,10,612,60,0,0,0,672,0.00456,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-7-medium-seq-balanced_8x10-20260531-080751
Claude Opus 4.7 high,anthropic/claude-opus-4-7,balanced_8x10,,none,arithmetic,10,10,0,10,10,10,558,70,0,0,0,628,0.00454,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-7-high-seq-balanced_8x10-20260531-080926
Claude Opus 4.7 high,anthropic/claude-opus-4-7,balanced_8x10,,none,character_count,10,5,5,5,10,5,516,60,0,0,0,576,0.00408,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-7-high-seq-balanced_8x10-20260531-080926
Claude Opus 4.7 high,anthropic/claude-opus-4-7,balanced_8x10,,none,constraint_awareness,10,10,0,10,10,10,902,50,0,0,0,952,0.00576,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-7-high-seq-balanced_8x10-20260531-080926
Claude Opus 4.7 high,anthropic/claude-opus-4-7,balanced_8x10,,none,format_compliance,10,10,0,10,10,10,659,98,0,0,0,757,0.005745,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-7-high-seq-balanced_8x10-20260531-080926
Claude Opus 4.7 high,anthropic/claude-opus-4-7,balanced_8x10,,none,negation,10,10,0,10,10,10,670,54,0,0,0,724,0.0047,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-7-high-seq-balanced_8x10-20260531-080926
Claude Opus 4.7 high,anthropic/claude-opus-4-7,balanced_8x10,,none,ordering,10,10,0,10,10,10,638,138,0,0,0,776,0.00664,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-7-high-seq-balanced_8x10-20260531-080926
Claude Opus 4.7 high,anthropic/claude-opus-4-7,balanced_8x10,,none,spelling_transform,10,9,1,9,10,9,506,82,0,0,0,588,0.00458,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-7-high-seq-balanced_8x10-20260531-080926
Claude Opus 4.7 high,anthropic/claude-opus-4-7,balanced_8x10,,none,word_count,10,10,0,10,10,10,612,60,0,0,0,672,0.00456,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-7-high-seq-balanced_8x10-20260531-080926
Claude Opus 4.8 low,anthropic/claude-opus-4-8,balanced_8x10,,none,arithmetic,10,10,0,10,10,10,508,40,0,0,0,548,0.00354,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-8-low-seq-balanced_8x10-20260531-081105
Claude Opus 4.8 low,anthropic/claude-opus-4-8,balanced_8x10,,none,character_count,10,7,3,7,10,7,466,30,0,0,0,496,0.00308,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-8-low-seq-balanced_8x10-20260531-081105
Claude Opus 4.8 low,anthropic/claude-opus-4-8,balanced_8x10,,none,constraint_awareness,10,10,0,10,10,10,852,30,0,0,0,882,0.00501,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-8-low-seq-balanced_8x10-20260531-081105
Claude Opus 4.8 low,anthropic/claude-opus-4-8,balanced_8x10,,none,format_compliance,10,10,0,10,10,10,609,77,0,0,0,686,0.00497,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-8-low-seq-balanced_8x10-20260531-081105
Claude Opus 4.8 low,anthropic/claude-opus-4-8,balanced_8x10,,none,negation,10,10,0,10,10,10,620,33,0,0,0,653,0.003925,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-8-low-seq-balanced_8x10-20260531-081105
Claude Opus 4.8 low,anthropic/claude-opus-4-8,balanced_8x10,,none,ordering,10,10,0,10,10,10,588,114,0,0,0,702,0.00579,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-8-low-seq-balanced_8x10-20260531-081105
Claude Opus 4.8 low,anthropic/claude-opus-4-8,balanced_8x10,,none,spelling_transform,10,7,3,7,10,7,456,59,0,0,0,515,0.003755,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-8-low-seq-balanced_8x10-20260531-081105
Claude Opus 4.8 low,anthropic/claude-opus-4-8,balanced_8x10,,none,word_count,10,10,0,10,10,10,562,30,0,0,0,592,0.00356,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-8-low-seq-balanced_8x10-20260531-081105
Claude Opus 4.8 medium,anthropic/claude-opus-4-8,balanced_8x10,,none,arithmetic,10,10,0,10,10,10,508,40,0,0,0,548,0.00354,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-8-medium-seq-balanced_8x10-20260531-081256
Claude Opus 4.8 medium,anthropic/claude-opus-4-8,balanced_8x10,,none,character_count,10,8,2,8,10,8,466,30,0,0,0,496,0.00308,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-8-medium-seq-balanced_8x10-20260531-081256
Claude Opus 4.8 medium,anthropic/claude-opus-4-8,balanced_8x10,,none,constraint_awareness,10,10,0,10,10,10,852,30,0,0,0,882,0.00501,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-8-medium-seq-balanced_8x10-20260531-081256
Claude Opus 4.8 medium,anthropic/claude-opus-4-8,balanced_8x10,,none,format_compliance,10,10,0,10,10,10,609,77,0,0,0,686,0.00497,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-8-medium-seq-balanced_8x10-20260531-081256
Claude Opus 4.8 medium,anthropic/claude-opus-4-8,balanced_8x10,,none,negation,10,10,0,10,10,10,620,33,0,0,0,653,0.003925,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-8-medium-seq-balanced_8x10-20260531-081256
Claude Opus 4.8 medium,anthropic/claude-opus-4-8,balanced_8x10,,none,ordering,10,10,0,10,10,10,588,114,0,0,0,702,0.00579,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-8-medium-seq-balanced_8x10-20260531-081256
Claude Opus 4.8 medium,anthropic/claude-opus-4-8,balanced_8x10,,none,spelling_transform,10,7,3,7,10,7,456,59,0,0,0,515,0.003755,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-8-medium-seq-balanced_8x10-20260531-081256
Claude Opus 4.8 medium,anthropic/claude-opus-4-8,balanced_8x10,,none,word_count,10,10,0,10,10,10,562,30,0,0,0,592,0.00356,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-8-medium-seq-balanced_8x10-20260531-081256
Claude Opus 4.8 high,anthropic/claude-opus-4-8,balanced_8x10,,none,arithmetic,10,10,0,10,10,10,508,40,0,0,0,548,0.00354,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-8-high-seq-balanced_8x10-20260531-081442
Claude Opus 4.8 high,anthropic/claude-opus-4-8,balanced_8x10,,none,character_count,10,8,2,8,10,8,466,30,0,0,0,496,0.00308,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-8-high-seq-balanced_8x10-20260531-081442
Claude Opus 4.8 high,anthropic/claude-opus-4-8,balanced_8x10,,none,constraint_awareness,10,10,0,10,10,10,852,30,0,0,0,882,0.00501,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-8-high-seq-balanced_8x10-20260531-081442
Claude Opus 4.8 high,anthropic/claude-opus-4-8,balanced_8x10,,none,format_compliance,10,10,0,10,10,10,609,77,0,0,0,686,0.00497,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-8-high-seq-balanced_8x10-20260531-081442
Claude Opus 4.8 high,anthropic/claude-opus-4-8,balanced_8x10,,none,negation,10,10,0,10,10,10,620,33,0,0,0,653,0.003925,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-8-high-seq-balanced_8x10-20260531-081442
Claude Opus 4.8 high,anthropic/claude-opus-4-8,balanced_8x10,,none,ordering,10,10,0,10,10,10,588,114,0,0,0,702,0.00579,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-8-high-seq-balanced_8x10-20260531-081442
Claude Opus 4.8 high,anthropic/claude-opus-4-8,balanced_8x10,,none,spelling_transform,10,7,3,7,10,7,456,59,0,0,0,515,0.003755,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-8-high-seq-balanced_8x10-20260531-081442
Claude Opus 4.8 high,anthropic/claude-opus-4-8,balanced_8x10,,none,word_count,10,10,0,10,10,10,562,30,0,0,0,592,0.00356,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/opus-4-8-high-seq-balanced_8x10-20260531-081442
Gemini 3.1 Flash Lite OR,openrouter/google/gemini-3.1-flash-lite,balanced_8x10,,,arithmetic,10,10,0,10,10,10,344,28,0,0,0,372,0.000128,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-1-flash-lite-openrouter-balanced_8x10-20260531-080345
Gemini 3.1 Flash Lite OR,openrouter/google/gemini-3.1-flash-lite,balanced_8x10,,,character_count,10,3,7,3,10,3,297,10,0,0,0,307,8.925e-05,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-1-flash-lite-openrouter-balanced_8x10-20260531-080345
Gemini 3.1 Flash Lite OR,openrouter/google/gemini-3.1-flash-lite,balanced_8x10,,,constraint_awareness,10,6,4,6,10,6,590,10,0,0,0,600,0.0001625,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-1-flash-lite-openrouter-balanced_8x10-20260531-080345
Gemini 3.1 Flash Lite OR,openrouter/google/gemini-3.1-flash-lite,balanced_8x10,,,format_compliance,10,10,0,10,10,10,393,37,0,0,0,430,0.00015375,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-1-flash-lite-openrouter-balanced_8x10-20260531-080345
Gemini 3.1 Flash Lite OR,openrouter/google/gemini-3.1-flash-lite,balanced_8x10,,,negation,10,10,0,10,10,10,416,10,0,0,0,426,0.000119,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-1-flash-lite-openrouter-balanced_8x10-20260531-080345
Gemini 3.1 Flash Lite OR,openrouter/google/gemini-3.1-flash-lite,balanced_8x10,,,ordering,10,10,0,10,10,10,373,90,0,0,0,463,0.00022825,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-1-flash-lite-openrouter-balanced_8x10-20260531-080345
Gemini 3.1 Flash Lite OR,openrouter/google/gemini-3.1-flash-lite,balanced_8x10,,,spelling_transform,10,7,3,7,10,7,269,31,0,0,0,300,0.00011375,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-1-flash-lite-openrouter-balanced_8x10-20260531-080345
Gemini 3.1 Flash Lite OR,openrouter/google/gemini-3.1-flash-lite,balanced_8x10,,,word_count,10,9,1,9,10,9,354,10,0,0,0,364,0.0001035,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-1-flash-lite-openrouter-balanced_8x10-20260531-080345
Gemini 3 Flash Preview OR,openrouter/google/gemini-3-flash-preview,balanced_8x10,,,arithmetic,10,10,0,10,10,10,340,28,0,0,0,368,0.000254,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-flash-preview-openrouter-balanced_8x10-20260531-080345
Gemini 3 Flash Preview OR,openrouter/google/gemini-3-flash-preview,balanced_8x10,,,character_count,10,4,6,4,10,4,290,10,0,0,0,300,0.000175,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-flash-preview-openrouter-balanced_8x10-20260531-080345
Gemini 3 Flash Preview OR,openrouter/google/gemini-3-flash-preview,balanced_8x10,,,constraint_awareness,10,10,0,10,10,10,586,10,0,0,0,596,0.000323,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-flash-preview-openrouter-balanced_8x10-20260531-080345
Gemini 3 Flash Preview OR,openrouter/google/gemini-3-flash-preview,balanced_8x10,,,format_compliance,10,10,0,10,10,10,386,42,0,0,0,428,0.000319,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-flash-preview-openrouter-balanced_8x10-20260531-080345
Gemini 3 Flash Preview OR,openrouter/google/gemini-3-flash-preview,balanced_8x10,,,negation,10,10,0,10,10,10,411,10,0,0,0,421,0.0002355,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-flash-preview-openrouter-balanced_8x10-20260531-080345
Gemini 3 Flash Preview OR,openrouter/google/gemini-3-flash-preview,balanced_8x10,,,ordering,10,10,0,10,10,10,369,90,0,0,0,459,0.0004545,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-flash-preview-openrouter-balanced_8x10-20260531-080345
Gemini 3 Flash Preview OR,openrouter/google/gemini-3-flash-preview,balanced_8x10,,,spelling_transform,10,6,4,6,10,6,264,27,0,0,0,291,0.000213,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-flash-preview-openrouter-balanced_8x10-20260531-080345
Gemini 3 Flash Preview OR,openrouter/google/gemini-3-flash-preview,balanced_8x10,,,word_count,10,10,0,10,10,10,352,10,0,0,0,362,0.000206,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-flash-preview-openrouter-balanced_8x10-20260531-080345
Gemini 3.1 Pro Preview OR,openrouter/google/gemini-3.1-pro-preview,balanced_8x10,,,arithmetic,10,10,0,10,10,10,340,1493,1465,0,0,1833,0.018596,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-1-pro-preview-openrouter-balanced_8x10-20260531-080345
Gemini 3.1 Pro Preview OR,openrouter/google/gemini-3.1-pro-preview,balanced_8x10,,,character_count,10,10,0,10,10,10,290,2196,2186,0,0,2486,0.026932,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-1-pro-preview-openrouter-balanced_8x10-20260531-080345
Gemini 3.1 Pro Preview OR,openrouter/google/gemini-3.1-pro-preview,balanced_8x10,,,constraint_awareness,10,10,0,10,10,10,586,2000,1990,0,0,2586,0.025172,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-1-pro-preview-openrouter-balanced_8x10-20260531-080345
Gemini 3.1 Pro Preview OR,openrouter/google/gemini-3.1-pro-preview,balanced_8x10,,,format_compliance,10,10,0,10,10,10,386,1669,1632,0,0,2055,0.0208,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-1-pro-preview-openrouter-balanced_8x10-20260531-080345
Gemini 3.1 Pro Preview OR,openrouter/google/gemini-3.1-pro-preview,balanced_8x10,,,negation,10,10,0,10,10,10,411,1655,1645,0,0,2066,0.020682,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-1-pro-preview-openrouter-balanced_8x10-20260531-080345
Gemini 3.1 Pro Preview OR,openrouter/google/gemini-3.1-pro-preview,balanced_8x10,,,ordering,10,10,0,10,10,10,369,2262,2172,0,0,2631,0.027882,runcost,,results/summaries/mega-model-sweep-20260531-0820-rescored-v2/gemini-3-1-pro-preview-openrouter-balanced_8x10-20260531-080345
