provider_model,reasoning_effort,effort_order,answer_pass3_accuracy,answer_pass3_items,items,estimated_cost_usd,log10_estimated_cost_usd,strict_pass3_accuracy,strict_attempt_accuracy,strict_any3_accuracy,total_tokens,reasoning_tokens
qwen/qwen3-coder-30b-a3b-instruct,default,1,0.465278,67,144,0.00353643,-2.451435,0.444444,0.502315,0.569444,28149,0
qwen/qwen3-coder-flash,default,1,0.506944,73,144,0.00679653,-2.167713,0.465278,0.486111,0.506944,23226,0
qwen/qwen3-coder-next,default,1,0.430556,62,144,0.00343941,-2.463516,0.430556,0.569444,0.729167,21859,0
qwen/qwen3-coder-plus,default,1,0.569444,82,144,0.02891785,-1.538834,0.527778,0.564815,0.597222,25153,0
qwen/qwen3-max,max,6,0.6875,99,144,0.01992042,-1.700702,0.6875,0.712963,0.736111,21363,0
qwen/qwen3-next-80b-a3b-instruct,default,1,0.5625,81,144,0.00335771,-2.473957,0.5625,0.606481,0.666667,21709,0
qwen/qwen3-next-80b-a3b-thinking,default,1,0.909722,131,144,0.3817693425,-0.418199,0.861111,0.944444,0.993056,507458,462108
qwen/qwen3-vl-235b-a22b-instruct,default,1,0.638889,92,144,0.0049272,-2.3074,0.638889,0.680556,0.708333,21792,0
qwen/qwen3-vl-235b-a22b-thinking,default,1,0.965278,139,144,0.82240938,-0.084912,0.951389,0.979167,1.0,335376,311854
qwen/qwen3-vl-30b-a3b-instruct,default,1,0.465278,67,144,0.00353795,-2.451248,0.465278,0.520833,0.590278,22043,0
qwen/qwen3-vl-30b-a3b-thinking,default,1,0.888889,128,144,0.64294347,-0.191827,0.861111,0.935185,0.986111,431561,406839
qwen/qwen3-vl-8b-instruct,default,1,0.4375,63,144,0.0023278,-2.633054,0.4375,0.490741,0.5625,21845,0
qwen/qwen3-vl-8b-thinking,default,1,0.861111,124,144,0.679502031,-0.167809,0.826389,0.881944,0.923611,517171,482805
qwen/qwen3.5-122b-a10b,default,1,0.972222,140,144,0.44180344,-0.354771,0.972222,0.988426,1.0,231631,203547
qwen/qwen3.5-27b,default,1,1.0,144,144,0.2728011,-0.564154,1.0,1.0,1.0,194098,160625
qwen/qwen3.5-35b-a3b,default,1,0.916667,132,144,0.2493048,-0.603269,0.916667,0.967593,1.0,268199,223750
qwen/qwen3.5-397b-a17b,default,1,0.993056,143,144,0.44292417,-0.353671,0.993056,0.993056,0.993056,207608,172181
qwen/qwen3.5-9b,default,1,0.805556,116,144,0.04815228,-1.317383,0.798611,0.891204,0.965278,337128,279565
qwen/qwen3.5-flash-02-23,default,1,0.923611,133,144,0.06834646,-1.165284,0.923611,0.965278,0.993056,279350,254255
qwen/qwen3.5-plus-02-15,default,1,0.986111,142,144,0.28556736,-0.544291,0.986111,0.99537,1.0,201366,176276
qwen/qwen3.5-plus-20260420,default,1,0.916667,132,144,0.404928,-0.392622,0.909722,0.962963,1.0,243270,218219
qwen/qwen3.6-27b,default,1,0.902778,130,144,0.53552433,-0.271221,0.902778,0.960648,0.993056,187348,134850
qwen/qwen3.6-35b-a3b,default,1,0.888889,128,144,0.24186894,-0.61642,0.881944,0.944444,0.986111,260764,216549
qwen/qwen3.6-35b-a3b,low,2,0.875,126,144,0.23234208,-0.633872,0.868056,0.944444,0.993056,251238,205282
qwen/qwen3.6-flash,default,1,0.875,126,144,0.247095,-0.607136,0.868056,0.928241,0.979167,237950,212899
qwen/qwen3.6-flash,low,2,0.888889,128,144,0.2435175,-0.61347,0.881944,0.939815,0.979167,234770,209686
qwen/qwen3.6-max-preview,max,6,0.979167,141,144,0.96784272,-0.014195,0.979167,0.988426,1.0,173413,148358
qwen/qwen3.6-plus,default,1,0.944444,136,144,0.37844235,-0.422,0.9375,0.969907,0.986111,212383,187239
qwen/qwen3.7-max,max,6,0.972222,140,144,0.48863375,-0.311017,0.972222,0.986111,1.0,144949,119899
x-ai/grok-4.20,disabled,0,0.569444,82,144,0.0204791,-1.688689,0.541667,0.618056,0.6875,72433,0
x-ai/grok-4.20,low,2,0.986111,142,144,0.8517207,-0.069703,0.041667,0.155093,0.305556,406143,295276
x-ai/grok-4.20,medium,3,0.986111,142,144,0.83133085,-0.080226,0.083333,0.208333,0.381944,398075,288195
x-ai/grok-4.20,high,4,0.986111,142,144,0.8269302,-0.082531,0.041667,0.164352,0.298611,396314,285666
x-ai/grok-4.20,xhigh,5,0.972222,140,144,0.84361175,-0.073857,0.055556,0.171296,0.291667,402977,291740
x-ai/grok-4.3,disabled,0,0.486111,70,144,0.01591195,-1.798277,0.486111,0.62037,0.756944,70393,0
x-ai/grok-4.3,low,2,0.965278,139,144,0.3435627,-0.463994,0.270833,0.469907,0.680556,205599,117619
x-ai/grok-4.3,medium,3,0.979167,141,144,0.569422,-0.244566,0.222222,0.449074,0.638889,295767,204965
x-ai/grok-4.3,high,4,0.986111,142,144,0.4246204,-0.371999,0.826389,0.9375,1.0,235006,163536
x-ai/grok-4.3,xhigh,5,0.979167,141,144,0.41584555,-0.381068,0.854167,0.949074,1.0,231632,160141
x-ai/grok-build-0.1,default,1,0.993056,143,144,0.022473,-1.648339,0.493056,0.752315,0.958333,375159,299679
x-ai/grok-build-0.1,low,2,0.986111,142,144,0.645235,-0.190282,0.409722,0.685185,0.916667,386901,307854
x-ai/grok-build-0.1,medium,3,0.993056,143,144,0.6388178,-0.194623,0.409722,0.694444,0.881944,383654,304747
x-ai/grok-build-0.1,high,4,0.993056,143,144,0.6160886,-0.210357,0.430556,0.6875,0.916667,372246,291839
x-ai/grok-build-0.1,xhigh,5,0.972222,140,144,0.6302982,-0.200454,0.368056,0.680556,0.9375,379409,293587
z-ai/glm-4.5,disabled,0,0.597222,86,144,0.00573125,-2.241751,0.597222,0.701389,0.791667,22166,0
z-ai/glm-4.5,default,1,0.923611,133,144,0.71284852,-0.147003,0.923611,0.972222,1.0,341825,320550
z-ai/glm-4.5-air,disabled,0,0.527778,76,144,0.002459615,-2.609133,0.527778,0.594907,0.673611,22076,0
z-ai/glm-4.5-air,default,1,0.847222,122,144,0.25158073,-0.599323,0.833333,0.925926,0.979167,313563,286666
z-ai/glm-4.5v,default,1,0.763889,110,144,0.20246255,-0.693655,0.6875,0.731481,0.777778,130448,82424
z-ai/glm-4.6,disabled,0,0.583333,84,144,0.00782609,-2.106455,0.576389,0.68287,0.777778,21621,0
z-ai/glm-4.6,default,1,0.861111,124,144,0.35781025,-0.446347,0.861111,0.930556,0.986111,221458,194048
z-ai/glm-4.6v,default,1,0.875,126,144,0.09887435,-1.004916,0.875,0.916667,0.944444,127043,104052
z-ai/glm-4.7,disabled,0,0.569444,82,144,0.00722756,-2.141008,0.569444,0.675926,0.777778,20090,0
z-ai/glm-4.7,default,1,0.916667,132,144,0.20521977,-0.687781,0.916667,0.967593,1.0,133045,107143
z-ai/glm-4.7-flash,disabled,0,0.375,54,144,0.00117582,-2.929659,0.368056,0.462963,0.576389,20296,0
z-ai/glm-4.7-flash,default,1,0.701389,101,144,0.06876181,-1.162653,0.680556,0.840278,0.972222,189071,148878
z-ai/glm-5,disabled,0,0.625,90,144,0.02494824,-1.60296,0.625,0.743056,0.847222,25956,5501
z-ai/glm-5,default,1,0.930556,134,144,0.29627836,-0.5283,0.930556,0.976852,1.0,156448,130929
z-ai/glm-5-turbo,disabled,0,0.597222,86,144,0.0285312,-1.54468,0.597222,0.662037,0.715278,20409,0
z-ai/glm-5-turbo,default,1,0.951389,137,144,0.3380392,-0.471033,0.951389,0.979167,0.993056,97786,76947
z-ai/glm-5.1,disabled,0,0.673611,97,144,0.03061625,-1.514048,0.673611,0.763889,0.881944,23850,2903
z-ai/glm-5.1,default,1,0.979167,141,144,0.27695276,-0.557594,0.979167,0.993056,1.0,103514,78321
