provider_model,reasoning_effort,effort_order,strict_attempt_accuracy,answer_pass3_accuracy,strict_pass3_accuracy,strict_any3_accuracy,complete_items,items,valid_attempts,total_tokens,reasoning_tokens,estimated_cost_usd
qwen/qwen3.5-35b-a3b,default,1,0.967593,0.916667,0.916667,1.0,144,144,432,268199,223750,0.2493048
qwen/qwen3.5-397b-a17b,default,1,0.993056,0.993056,0.993056,0.993056,144,144,432,207608,172181,0.44292417
qwen/qwen3.5-9b,default,1,0.891204,0.805556,0.798611,0.965278,144,144,432,337128,279565,0.04815228
qwen/qwen3.5-flash-02-23,default,1,0.965278,0.923611,0.923611,0.993056,144,144,432,279350,254255,0.06834646
qwen/qwen3.5-plus-02-15,default,1,0.99537,0.986111,0.986111,1.0,144,144,432,201366,176276,0.28556736
qwen/qwen3.5-plus-20260420,default,1,0.962963,0.916667,0.909722,1.0,144,144,432,243270,218219,0.404928
qwen/qwen3.6-27b,default,1,0.960648,0.902778,0.902778,0.993056,144,144,432,187348,134850,0.53552433
qwen/qwen3.6-35b-a3b,default,1,0.944444,0.888889,0.881944,0.986111,144,144,432,260764,216549,0.24186894
qwen/qwen3.6-35b-a3b,low,2,0.944444,0.875,0.868056,0.993056,144,144,432,251238,205282,0.23234208
qwen/qwen3.6-flash,default,1,0.928241,0.875,0.868056,0.979167,144,144,432,237950,212899,0.247095
qwen/qwen3.6-flash,low,2,0.939815,0.888889,0.881944,0.979167,144,144,432,234770,209686,0.2435175
qwen/qwen3.6-max-preview,max,6,0.988426,0.979167,0.979167,1.0,144,144,432,173413,148358,0.96784272
qwen/qwen3.6-plus,default,1,0.969907,0.944444,0.9375,0.986111,144,144,432,212383,187239,0.37844235
qwen/qwen3.7-max,max,6,0.986111,0.972222,0.972222,1.0,144,144,432,144949,119899,0.48863375
x-ai/grok-4.20,disabled,0,0.618056,0.569444,0.541667,0.6875,144,144,432,72433,0,0.0204791
x-ai/grok-4.20,low,2,0.155093,0.986111,0.041667,0.305556,144,144,432,406143,295276,0.8517207
x-ai/grok-4.20,medium,3,0.208333,0.986111,0.083333,0.381944,144,144,432,398075,288195,0.83133085
x-ai/grok-4.20,high,4,0.164352,0.986111,0.041667,0.298611,144,144,432,396314,285666,0.8269302
x-ai/grok-4.20,xhigh,5,0.171296,0.972222,0.055556,0.291667,144,144,432,402977,291740,0.84361175
x-ai/grok-4.3,disabled,0,0.62037,0.486111,0.486111,0.756944,144,144,432,70393,0,0.01591195
x-ai/grok-4.3,low,2,0.469907,0.965278,0.270833,0.680556,144,144,432,205599,117619,0.3435627
x-ai/grok-4.3,medium,3,0.449074,0.979167,0.222222,0.638889,144,144,432,295767,204965,0.569422
x-ai/grok-4.3,high,4,0.9375,0.986111,0.826389,1.0,144,144,432,235006,163536,0.4246204
x-ai/grok-4.3,xhigh,5,0.949074,0.979167,0.854167,1.0,144,144,432,231632,160141,0.41584555
x-ai/grok-build-0.1,default,1,0.752315,0.993056,0.493056,0.958333,144,144,432,375159,299679,0.022473
x-ai/grok-build-0.1,low,2,0.685185,0.986111,0.409722,0.916667,144,144,432,386901,307854,0.645235
x-ai/grok-build-0.1,medium,3,0.694444,0.993056,0.409722,0.881944,144,144,432,383654,304747,0.6388178
x-ai/grok-build-0.1,high,4,0.6875,0.993056,0.430556,0.916667,144,144,432,372246,291839,0.6160886
x-ai/grok-build-0.1,xhigh,5,0.680556,0.972222,0.368056,0.9375,144,144,432,379409,293587,0.6302982
z-ai/glm-4.5,disabled,0,0.701389,0.597222,0.597222,0.791667,144,144,432,22166,0,0.00573125
z-ai/glm-4.5,default,1,0.972222,0.923611,0.923611,1.0,144,144,432,341825,320550,0.71284852
z-ai/glm-4.5-air,disabled,0,0.594907,0.527778,0.527778,0.673611,144,144,432,22076,0,0.002459615
z-ai/glm-4.5-air,default,1,0.925926,0.847222,0.833333,0.979167,144,144,432,313563,286666,0.25158073
z-ai/glm-4.5v,default,1,0.731481,0.763889,0.6875,0.777778,144,144,432,130448,82424,0.20246255
z-ai/glm-4.6,disabled,0,0.68287,0.583333,0.576389,0.777778,144,144,432,21621,0,0.00782609
z-ai/glm-4.6,default,1,0.930556,0.861111,0.861111,0.986111,144,144,432,221458,194048,0.35781025
z-ai/glm-4.6v,default,1,0.916667,0.875,0.875,0.944444,144,144,432,127043,104052,0.09887435
z-ai/glm-4.7,disabled,0,0.675926,0.569444,0.569444,0.777778,144,144,432,20090,0,0.00722756
z-ai/glm-4.7,default,1,0.967593,0.916667,0.916667,1.0,144,144,432,133045,107143,0.20521977
z-ai/glm-4.7-flash,disabled,0,0.462963,0.375,0.368056,0.576389,144,144,432,20296,0,0.00117582
z-ai/glm-4.7-flash,default,1,0.840278,0.701389,0.680556,0.972222,144,144,432,189071,148878,0.06876181
z-ai/glm-5,disabled,0,0.743056,0.625,0.625,0.847222,144,144,432,25956,5501,0.02494824
z-ai/glm-5,default,1,0.976852,0.930556,0.930556,1.0,144,144,432,156448,130929,0.29627836
z-ai/glm-5-turbo,disabled,0,0.662037,0.597222,0.597222,0.715278,144,144,432,20409,0,0.0285312
z-ai/glm-5-turbo,default,1,0.979167,0.951389,0.951389,0.993056,144,144,432,97786,76947,0.3380392
z-ai/glm-5.1,disabled,0,0.763889,0.673611,0.673611,0.881944,144,144,432,23850,2903,0.03061625
z-ai/glm-5.1,default,1,0.993056,0.979167,0.979167,1.0,144,144,432,103514,78321,0.27695276
