label,model,summary_dir
Qwen: Qwen Plus 0728,openrouter/qwen/qwen-plus-2025-07-28,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-073-openrouter-141-qwen-qwen-plus-2025-07-28
Qwen: Qwen3 Coder 480B A35B,openrouter/qwen/qwen3-coder,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-095-openrouter-148-qwen-qwen3-coder
Qwen: Qwen2.5 VL 72B Instruct,openrouter/qwen/qwen2.5-vl-72b-instruct,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-029-registry-openrouter-112-qwen-qwen2-5-vl-72b-instruct
Meta: Llama 3.1 70B Instruct,openrouter/meta-llama/llama-3.1-70b-instruct,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-057-openrouter-158-meta-llama-llama-3-1-70b-instruct
Qwen: Qwen3 Coder Plus,openrouter/qwen/qwen3-coder-plus,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-061-registry-openrouter-139-qwen-qwen3-coder-plus
OpenAI GPT-5 mini minimal,openai/gpt-5-mini,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-047-registry-openai-gpt-5-mini-minimal
Mistral: Mixtral 8x22B Instruct,openrouter/mistralai/mixtral-8x22b-instruct,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-073-registry-openrouter-115-mistralai-mixtral-8x22b-instruct
Magnum v4 72B,openrouter/anthracite-org/magnum-v4-72b,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-072-registry-openrouter-114-anthracite-org-magnum-v4-72b
Arcee AI: Trinity Mini,openrouter/arcee-ai/trinity-mini,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-030-openrouter-037-arcee-ai-trinity-mini
Mistral Large 2407,openrouter/mistralai/mistral-large-2407,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-074-registry-openrouter-185-mistralai-mistral-large-2407
Z.ai: GLM 4 32B ,openrouter/z-ai/glm-4-32b,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-024-openrouter-052-z-ai-glm-4-32b
Nous: Hermes 4 70B,openrouter/nousresearch/hermes-4-70b,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-054-openrouter-143-nousresearch-hermes-4-70b
Mistral: Saba,openrouter/mistralai/mistral-saba,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-027-registry-openrouter-176-mistralai-mistral-saba
Mistral: Mistral Medium 3.1,openrouter/mistralai/mistral-medium-3.1,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-052-registry-openrouter-172-mistralai-mistral-medium-3-1
Mistral: Mistral Medium 3,openrouter/mistralai/mistral-medium-3,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-054-registry-openrouter-175-mistralai-mistral-medium-3
Cohere: Command A,openrouter/cohere/command-a,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-079-registry-openrouter-182-cohere-command-a
IBM: Granite 4.1 8B,openrouter/ibm-granite/granite-4.1-8b,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-021-openrouter-026-ibm-granite-granite-4-1-8b
Google: Gemma 3n 4B,openrouter/google/gemma-3n-e4b-it,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-027-openrouter-056-google-gemma-3n-e4b-it
OpenAI GPT-4.1 nano,openai/gpt-4.1-nano,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-019-registry-openai-gpt-4-1-nano
Meta: Llama 4 Maverick,openrouter/meta-llama/llama-4-maverick,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-026-registry-openrouter-106-meta-llama-llama-4-maverick
DeepSeek: DeepSeek V3.1,openrouter/deepseek/deepseek-chat-v3.1,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-074-openrouter-145-deepseek-deepseek-chat-v3-1
DeepSeek: DeepSeek V3.1 Terminus,openrouter/deepseek/deepseek-v3.1-terminus,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-081-openrouter-140-deepseek-deepseek-v3-1-terminus
Mistral: Codestral 2508,openrouter/mistralai/codestral-2508,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-034-registry-openrouter-174-mistralai-codestral-2508
Qwen2.5 72B Instruct,openrouter/qwen/qwen-2.5-72b-instruct,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-055-openrouter-072-qwen-qwen-2-5-72b-instruct
Baidu: ERNIE 4.5 300B A47B ,openrouter/baidu/ernie-4.5-300b-a47b,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-088-openrouter-055-baidu-ernie-4-5-300b-a47b
Meta: Llama 3 70B Instruct,openrouter/meta-llama/llama-3-70b-instruct,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-069-openrouter-160-meta-llama-llama-3-70b-instruct
TheDrummer: Cydonia 24B V4.1,openrouter/thedrummer/cydonia-24b-v4.1,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-064-openrouter-044-thedrummer-cydonia-24b-v4-1
TheDrummer: Skyfall 36B V2,openrouter/thedrummer/skyfall-36b-v2,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-076-openrouter-151-thedrummer-skyfall-36b-v2
OpenAI GPT-5.4 mini no thinking,openai/gpt-5.4-mini,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-070-registry-openai-gpt-5-4-mini-none
NVIDIA: Nemotron Nano 9B V2,openrouter/nvidia/nemotron-nano-9b-v2,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-032-openrouter-047-nvidia-nemotron-nano-9b-v2
IBM: Granite 4.0 Micro,openrouter/ibm-granite/granite-4.0-h-micro,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-025-openrouter-041-ibm-granite-granite-4-0-h-micro
Google: Gemma 3 27B,openrouter/google/gemma-3-27b-it,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-006-registry-openrouter-111-google-gemma-3-27b-it
OpenAI GPT-4o mini,openai/gpt-4o-mini,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-024-registry-openai-gpt-4o-mini
Mistral: Ministral 3 14B 2512,openrouter/mistralai/ministral-14b-2512,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-014-registry-openrouter-093-mistralai-ministral-14b-2512
DeepSeek: DeepSeek V3.2,openrouter/deepseek/deepseek-v3.2,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-048-openrouter-134-deepseek-deepseek-v3-2
Mistral: Mistral Small 3,openrouter/mistralai/mistral-small-24b-instruct-2501,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-019-openrouter-065-mistralai-mistral-small-24b-instruct-2501
OpenAI GPT-5 nano minimal,openai/gpt-5-nano,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-087-thinking-openai-gpt-5-nano-minimal
DeepSeek: DeepSeek V3.2 Exp,openrouter/deepseek/deepseek-v3.2-exp,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-058-openrouter-137-deepseek-deepseek-v3-2-exp
WizardLM-2 8x22B,openrouter/microsoft/wizardlm-2-8x22b,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-066-openrouter-077-microsoft-wizardlm-2-8x22b
Mistral: Ministral 3 8B 2512,openrouter/mistralai/ministral-8b-2512,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-008-registry-openrouter-094-mistralai-ministral-8b-2512
Qwen: Qwen3 VL 30B A3B Instruct,openrouter/qwen/qwen3-vl-30b-a3b-instruct,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-022-registry-openrouter-099-qwen-qwen3-vl-30b-a3b-instruct
OpenAI GPT-5.4 nano no thinking,openai/gpt-5.4-nano,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-037-registry-openai-gpt-5-4-nano-none
Mistral: Mistral Medium 3.5,openrouter/mistralai/mistral-medium-3-5,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-075-registry-openrouter-183-mistralai-mistral-medium-3-5
Qwen: Qwen3 30B A3B Instruct 2507,openrouter/qwen/qwen3-30b-a3b-instruct-2507,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-033-openrouter-051-qwen-qwen3-30b-a3b-instruct-2507
LiquidAI: LFM2-24B-A2B,openrouter/liquid/lfm-2-24b-a2b,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-026-openrouter-030-liquid-lfm-2-24b-a2b
Sao10K: Llama 3 8B Lunaris,openrouter/sao10k/l3-lunaris-8b,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-017-openrouter-121-sao10k-l3-lunaris-8b
Mistral: Mistral Small 3.2 24B,openrouter/mistralai/mistral-small-3.2-24b-instruct,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-007-registry-openrouter-104-mistralai-mistral-small-3-2-24b-instruct
Meta: Llama 3.2 11B Vision Instruct,openrouter/meta-llama/llama-3.2-11b-vision-instruct,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-018-registry-openrouter-177-meta-llama-llama-3-2-11b-vision-instruct
Google: Gemma 2 27B,openrouter/google/gemma-2-27b-it,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-068-openrouter-074-google-gemma-2-27b-it
Mistral: Voxtral Small 24B 2507,openrouter/mistralai/voxtral-small-24b-2507,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-015-registry-openrouter-096-mistralai-voxtral-small-24b-2507
Meta: Llama 4 Scout,openrouter/meta-llama/llama-4-scout,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-012-registry-openrouter-107-meta-llama-llama-4-scout
Qwen: Qwen3 VL 8B Instruct,openrouter/qwen/qwen3-vl-8b-instruct,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-021-registry-openrouter-098-qwen-qwen3-vl-8b-instruct
Qwen: Qwen2.5 7B Instruct,openrouter/qwen/qwen-2.5-7b-instruct,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-020-openrouter-069-qwen-qwen-2-5-7b-instruct
Tencent: Hunyuan A13B Instruct,openrouter/tencent/hunyuan-a13b-instruct,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-065-openrouter-054-tencent-hunyuan-a13b-instruct
EssentialAI: Rnj 1 Instruct,openrouter/essentialai/rnj-1-instruct,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-031-openrouter-133-essentialai-rnj-1-instruct
DeepSeek: DeepSeek V3 0324,openrouter/deepseek/deepseek-chat-v3-0324,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-070-openrouter-150-deepseek-deepseek-chat-v3-0324
DeepSeek: DeepSeek V3,openrouter/deepseek/deepseek-chat,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-077-openrouter-153-deepseek-deepseek-chat
TheDrummer: UnslopNemo 12B,openrouter/thedrummer/unslopnemo-12b,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-056-openrouter-068-thedrummer-unslopnemo-12b
Meta: Llama 3.1 8B Instruct,openrouter/meta-llama/llama-3.1-8b-instruct,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-016-openrouter-073-meta-llama-llama-3-1-8b-instruct
Google: Gemma 3 4B,openrouter/google/gemma-3-4b-it,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-001-registry-openrouter-109-google-gemma-3-4b-it
Mistral: Ministral 3 3B 2512,openrouter/mistralai/ministral-3b-2512,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-004-registry-openrouter-095-mistralai-ministral-3b-2512
TheDrummer: Rocinante 12B,openrouter/thedrummer/rocinante-12b,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-059-openrouter-070-thedrummer-rocinante-12b
Microsoft: Phi 4 Mini Instruct,openrouter/microsoft/phi-4-mini-instruct,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-049-openrouter-042-microsoft-phi-4-mini-instruct
ByteDance: UI-TARS 7B ,openrouter/bytedance/ui-tars-1.5-7b,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-009-registry-openrouter-102-bytedance-ui-tars-1-5-7b
MythoMax 13B,openrouter/gryphe/mythomax-l2-13b,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-018-openrouter-079-gryphe-mythomax-l2-13b
NousResearch: Hermes 2 Pro - Llama-3 8B,openrouter/nousresearch/hermes-2-pro-llama-3-8b,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-029-openrouter-075-nousresearch-hermes-2-pro-llama-3-8b
Mistral: Mistral Nemo,openrouter/mistralai/mistral-nemo,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-013-openrouter-159-mistralai-mistral-nemo
Meta: Llama 3 8B Instruct,openrouter/meta-llama/llama-3-8b-instruct,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-015-openrouter-076-meta-llama-llama-3-8b-instruct
Microsoft: Phi 4,openrouter/microsoft/phi-4,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-028-openrouter-066-microsoft-phi-4
ReMM SLERP 13B,openrouter/undi95/remm-slerp-l2-13b,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-067-openrouter-078-undi95-remm-slerp-l2-13b
Qwen: Qwen3 Coder Flash,openrouter/qwen/qwen3-coder-flash,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-083-openrouter-045-qwen-qwen3-coder-flash
Qwen: Qwen3 Coder 30B A3B Instruct,openrouter/qwen/qwen3-coder-30b-a3b-instruct,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-040-openrouter-050-qwen-qwen3-coder-30b-a3b-instruct
Reka Edge,openrouter/rekaai/reka-edge,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-005-registry-openrouter-167-rekaai-reka-edge
AionLabs: Aion-RP 1.0 (8B),openrouter/aion-labs/aion-rp-llama-3.1-8b,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-092-openrouter-064-aion-labs-aion-rp-llama-3-1-8b
Qwen: Qwen3 Max,openrouter/qwen/qwen3-max,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-066-registry-openrouter-138-qwen-qwen3-max
DeepSeek: R1 Distill Qwen 32B,openrouter/deepseek/deepseek-r1-distill-qwen-32b,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-042-openrouter-120-deepseek-deepseek-r1-distill-qwen-32b
Meta: Llama 3.2 1B Instruct,openrouter/meta-llama/llama-3.2-1b-instruct,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-scaled-037-openrouter-155-meta-llama-llama-3-2-1b-instruct
Meta: Llama Guard 4 12B,openrouter/meta-llama/llama-guard-4-12b,results/summaries/paper-v1-8x28-current-222-20260602-keyed/runs/expand222-next-011-registry-openrouter-105-meta-llama-llama-guard-4-12b
