item_id,participant_id,answer,seconds,correct,notes,scorer,target,extracted,failure_type,format_correct,strict_correct
obviousbench.char_count.en.v0.public.000008,p04,,,,,exact_integer_extract_first_v0,3,,,,
obviousbench.negation.en.v0.public.000012,p04,,,,,multiple_choice_letter_v0,C,,,,
obviousbench.ordering.en.v0.public.000049,p04,,,,,normalized_list_v0,"1, 2, 12, 21",,,,
obviousbench.arith.en.v0.public.000028,p04,,,,,exact_integer_extract_first_v0,60,,,,
obviousbench.spell.en.v0.public.000028,p04,,,,,exact_string_trim_v0,rliability,,,,
obviousbench.char_count.en.v0.public.000029,p04,,,,,exact_integer_extract_first_v0,1,,,,
obviousbench.constraint.en.v0.public.000040,p04,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.char_count.en.v0.public.000017,p04,,,,,exact_integer_extract_first_v0,3,,,,
obviousbench.format.en.v0.public.000048,p04,,,,,json_exact_field_v0,cat,,,,
obviousbench.word_count.en.v0.public.000051,p04,,,,,word_count_v0,4,,,,
obviousbench.spell.en.v0.public.000020,p04,,,,,exact_string_trim_v0,committ,,,,
obviousbench.constraint.en.v0.public.000021,p04,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.format.en.v0.public.000028,p05,,,,,json_exact_field_v0,3,,,,
obviousbench.format.en.v0.public.000047,p05,,,,,json_exact_field_v0,17,,,,
obviousbench.spell.en.v0.public.000002,p05,,,,,exact_string_trim_v0,strawbrry,,,,
obviousbench.negation.en.v0.public.000031,p05,,,,,exact_string_trim_v0,plum,,,,
obviousbench.format.en.v0.public.000048,p05,,,,,json_exact_field_v0,cat,,,,
obviousbench.word_count.en.v0.public.000027,p05,,,,,word_count_v0,4,,,,
obviousbench.spell.en.v0.public.000028,p05,,,,,exact_string_trim_v0,rliability,,,,
obviousbench.char_count.en.v0.public.000017,p05,,,,,exact_integer_extract_first_v0,3,,,,
obviousbench.word_count.en.v0.public.000052,p05,,,,,word_count_v0,5,,,,
obviousbench.arith.en.v0.public.000026,p05,,,,,exact_integer_extract_first_v0,126,,,,
obviousbench.format.en.v0.public.000030,p05,,,,,json_exact_field_v0,3,,,,
obviousbench.word_count.en.v0.public.000051,p05,,,,,word_count_v0,4,,,,
obviousbench.spell.en.v0.public.000020,p05,,,,,exact_string_trim_v0,committ,,,,
obviousbench.word_count.en.v0.public.000042,p05,,,,,word_count_v0,4,,,,
obviousbench.arith.en.v0.public.000007,p05,,,,,exact_integer_extract_first_v0,22,,,,
obviousbench.constraint.en.v0.public.000025,p05,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.word_count.en.v0.public.000045,p05,,,,,word_count_v0,4,,,,
obviousbench.word_count.en.v0.public.000024,p05,,,,,word_count_v0,4,,,,
obviousbench.constraint.en.v0.public.000040,p05,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.format.en.v0.public.000008,p05,,,,,json_exact_field_v0,3,,,,
obviousbench.arith.en.v0.public.000023,p05,,,,,exact_string_trim_v0,3.5,,,,
obviousbench.constraint.en.v0.public.000021,p05,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.spell.en.v0.public.000017,p05,,,,,exact_string_trim_v0,orang,,,,
obviousbench.spell.en.v0.public.000015,p05,,,,,exact_string_trim_v0,pl@net,,,,
obviousbench.negation.en.v0.public.000018,p05,,,,,multiple_choice_letter_v0,C,,,,
obviousbench.negation.en.v0.public.000034,p05,,,,,exact_string_trim_v0,July,,,,
obviousbench.arith.en.v0.public.000022,p05,,,,,exact_string_trim_v0,7.2,,,,
obviousbench.ordering.en.v0.public.000048,p05,,,,,normalized_list_v0,"-3, -1, 0, 4",,,,
obviousbench.word_count.en.v0.public.000070,p05,,,,,word_count_v0,4,,,,
obviousbench.constraint.en.v0.public.000003,p05,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.spell.en.v0.public.000008,p05,,,,,exact_string_trim_v0,sntnc,,,,
obviousbench.ordering.en.v0.public.000055,p05,,,,,normalized_list_v0,"beige, black, blue, brown",,,,
obviousbench.arith.en.v0.public.000025,p05,,,,,exact_integer_extract_first_v0,210,,,,
obviousbench.format.en.v0.public.000020,p05,,,,,json_exact_field_v0,3,,,,
obviousbench.ordering.en.v0.public.000050,p05,,,,,normalized_list_v0,"5.05, 5.15, 5.5",,,,
obviousbench.spell.en.v0.public.000014,p05,,,,,exact_string_trim_v0,plant,,,,
obviousbench.negation.en.v0.public.000033,p05,,,,,exact_string_trim_v0,circle,,,,
obviousbench.char_count.en.v0.public.000054,p05,,,,,exact_integer_extract_first_v0,1,,,,
obviousbench.constraint.en.v0.public.000033,p05,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.spell.en.v0.public.000022,p05,,,,,exact_string_trim_v0,paralll,,,,
obviousbench.negation.en.v0.public.000012,p05,,,,,multiple_choice_letter_v0,C,,,,
obviousbench.ordering.en.v0.public.000012,p05,,,,,normalized_list_v0,"cap, car, cat",,,,
obviousbench.char_count.en.v0.public.000040,p05,,,,,exact_integer_extract_first_v0,3,,,,
obviousbench.format.en.v0.public.000050,p05,,,,,json_exact_field_v0,true,,,,
obviousbench.arith.en.v0.public.000021,p05,,,,,exact_string_trim_v0,9.9,,,,
obviousbench.char_count.en.v0.public.000030,p05,,,,,exact_integer_extract_first_v0,1,,,,
obviousbench.word_count.en.v0.public.000033,p05,,,,,word_count_v0,4,,,,
obviousbench.format.en.v0.public.000026,p05,,,,,json_exact_field_v0,3,,,,
obviousbench.negation.en.v0.public.000032,p05,,,,,exact_string_trim_v0,paper,,,,
obviousbench.char_count.en.v0.public.000038,p05,,,,,exact_integer_extract_first_v0,2,,,,
obviousbench.arith.en.v0.public.000028,p05,,,,,exact_integer_extract_first_v0,60,,,,
obviousbench.negation.en.v0.public.000016,p05,,,,,multiple_choice_letter_v0,C,,,,
obviousbench.char_count.en.v0.public.000046,p05,,,,,exact_integer_extract_first_v0,1,,,,
obviousbench.ordering.en.v0.public.000045,p05,,,,,normalized_list_v0,"blue, green, red",,,,
obviousbench.format.en.v0.public.000046,p05,,,,,json_exact_field_v0,blue,,,,
obviousbench.ordering.en.v0.public.000046,p05,,,,,normalized_list_v0,"1, 2, 7, 10",,,,
obviousbench.constraint.en.v0.public.000038,p05,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.ordering.en.v0.public.000025,p05,,,,,normalized_list_v0,"blue, green, red",,,,
obviousbench.arith.en.v0.public.000027,p05,,,,,exact_string_trim_v0,0.75,,,,
obviousbench.negation.en.v0.public.000035,p05,,,,,exact_string_trim_v0,9,,,,
obviousbench.negation.en.v0.public.000019,p05,,,,,multiple_choice_letter_v0,C,,,,
obviousbench.word_count.en.v0.public.000015,p05,,,,,word_count_v0,4,,,,
obviousbench.negation.en.v0.public.000020,p05,,,,,multiple_choice_letter_v0,C,,,,
obviousbench.arith.en.v0.public.000024,p05,,,,,exact_string_trim_v0,4.827,,,,
obviousbench.ordering.en.v0.public.000047,p05,,,,,normalized_list_v0,"3.01, 3.1, 3.2",,,,
obviousbench.char_count.en.v0.public.000062,p05,,,,,exact_integer_extract_first_v0,1,,,,
obviousbench.constraint.en.v0.public.000028,p05,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.word_count.en.v0.public.000036,p05,,,,,word_count_v0,4,,,,
obviousbench.constraint.en.v0.public.000032,p05,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.ordering.en.v0.public.000036,p05,,,,,normalized_list_v0,"apple, banana, pear",,,,
obviousbench.spell.en.v0.public.000005,p05,,,,,exact_string_trim_v0,ncssary,,,,
obviousbench.char_count.en.v0.public.000008,p05,,,,,exact_integer_extract_first_v0,3,,,,
obviousbench.format.en.v0.public.000049,p05,,,,,json_exact_field_v0,north,,,,
obviousbench.constraint.en.v0.public.000036,p05,,,,,multiple_choice_letter_v0,B,,,,
obviousbench.char_count.en.v0.public.000057,p05,,,,,exact_integer_extract_first_v0,2,,,,
obviousbench.spell.en.v0.public.000025,p05,,,,,exact_string_trim_v0,bookkpr,,,,
obviousbench.ordering.en.v0.public.000049,p05,,,,,normalized_list_v0,"1, 2, 12, 21",,,,
obviousbench.char_count.en.v0.public.000029,p05,,,,,exact_integer_extract_first_v0,1,,,,
obviousbench.arith.en.v0.public.000020,p05,,,,,exact_integer_extract_first_v0,47,,,,
obviousbench.constraint.en.v0.public.000008,p05,,,,,multiple_choice_letter_v0,B,,,,
